item_id,brand,department,group_stocks,name_stocks,full_price,discount_price,"""size""",quantity,size_range_type,"""style""",gender_id,gender,season_id,season,barcode,sku,store_barcode
22692985,12 STOREEZ,,,logo-embroidered track pants,659.0,659.0,XS,3,12 Storeez Women Clothing Standard,123824,249,,83844203,SS24,2022692985180,123824,2112382400045.0
22693558,12 STOREEZ,,,logo-embroidered track pants,659.0,659.0,XS,3,12 Storeez Women Clothing Standard,123925,249,,83844203,SS24,2022693558185,123925,2112392500049.0
22693558,12 STOREEZ,,,logo-embroidered track pants,659.0,659.0,S,3,12 Storeez Women Clothing Standard,123925,249,,83844203,SS24,2022693558192,123925,2112392500025.0
22693558,12 STOREEZ,,,logo-embroidered track pants,659.0,659.0,M,3,12 Storeez Women Clothing Standard,123925,249,,83844203,SS24,2022693558208,123925,2112392500018.0
22692964,12 STOREEZ,,,button-placket long-sleeve T-shirt ,385.0,385.0,XS,3,12 Storeez Women Clothing Standard,123867,249,,83844203,SS24,2022692964185,123867,2112386700035.0
22693554,12 STOREEZ,,,roll-neck merino-wool jumper,605.0,605.0,S,3,12 Storeez Women Clothing Standard,123934,249,,83844203,SS24,2022693554194,123934,2112393400027.0
22693554,12 STOREEZ,,,roll-neck merino-wool jumper,605.0,605.0,L,3,12 Storeez Women Clothing Standard,123934,249,,83844203,SS24,2022693554217,123934,2112393400003.0
22693559,12 STOREEZ,,,double-breasted coat ,3575.0,3575.0,M,3,12 Storeez Women Clothing Standard,123931,249,,83844203,SS24,2022693559205,123931,2112393100019.0
22693559,12 STOREEZ,,,double-breasted coat ,3575.0,3575.0,L,3,12 Storeez Women Clothing Standard,123931,249,,83844203,SS24,2022693559212,123931,2112393100002.0
22693559,12 STOREEZ,,,double-breasted coat ,3575.0,3575.0,XL,3,12 Storeez Women Clothing Standard,123931,249,,83844203,SS24,2022693559229,123931,2112393100033.0
22693553,12 STOREEZ,,,Bucket hat,605.0,605.0,XS,3,12 Storeez Women Clothing Standard,121650,249,,83844203,SS24,2022693553180,121650,2112165073008.0
22693553,12 STOREEZ,,,Bucket hat,605.0,605.0,S,3,12 Storeez Women Clothing Standard,121650,249,,83844203,SS24,2022693553197,121650,2112165071004.0
22692982,12 STOREEZ,,,chest-pocket long-sleeve shirt ,549.0,549.0,OS,3,12 Storeez One Size,124093,249,,83844203,SS24,2022692982172,124093,2112409300006.0
22693556,12 STOREEZ,,,double-breasted coat ,3575.0,3575.0,S,3,12 Storeez Women Clothing Standard,123930,249,,83844203,SS24,2022693556198,123930,2112393000029.0
22692981,12 STOREEZ,,,roll-neck merino-wool jumper,605.0,605.0,XS,3,12 Storeez Women Clothing Standard,123933,249,,83844203,SS24,2022692981182,123933,2112393300044.0
22692981,12 STOREEZ,,,roll-neck merino-wool jumper,605.0,605.0,S,3,12 Storeez Women Clothing Standard,123933,249,,83844203,SS24,2022692981199,123933,2112393300020.0
22693565,12 STOREEZ,,,almond-toe leather loafers,1055.0,1055.0,40,3,SHOES WOMEN'S IT,124326,249,,83844203,SS24,2022693565299,124326,4620209532599.0
22693569,12 STOREEZ,,,half-zip merino-wool jumper,725.0,725.0,M,3,12 Storeez Women Clothing Standard,123892,249,,83844203,SS24,2022693569204,123892,2112389200013.0
22692983,12 STOREEZ,,,merino-silk cardigan,1099.0,1099.0,XS,3,12 Storeez Women Clothing Standard,123896,249,,83844203,SS24,2022692983186,123896,2112389600042.0
